iter	Passed	Remaining
423	2205	2995
424	2210	2990
425	2216	2986
426	2219	2978
427	2225	2974
428	2232	2971
429	2235	2963
430	2242	2959
431	2248	2956
432	2252	2949
433	2258	2944
434	2264	2941
435	2268	2934
436	2274	2929
437	2281	2926
438	2284	2919
439	2290	2915
440	2297	2912
441	2300	2904
442	2307	2900
443	2313	2897
444	2317	2890
445	2323	2886
446	2329	2881
447	2333	2874
448	2339	2870
449	2344	2865
450	2347	2858
451	2354	2854
452	2358	2847
453	2364	2843
454	2370	2839
455	2375	2834
456	2379	2827
457	2386	2823
458	2389	2816
459	2395	2812
460	2402	2808
461	2405	2801
462	2411	2796
463	2416	2791
464	2419	2783
465	2427	2781
466	2434	2778
467	2438	2771
468	2444	2767
469	2450	2763
470	2453	2755
471	2459	2751
472	2463	2745
473	2469	2740
474	2475	2736
475	2481	2731
476	2485	2725
477	2491	2720
478	2495	2713
479	2500	2709
480	2508	2707
481	2516	2704
482	2522	2700
483	2525	2692
484	2531	2688
485	2535	2682
486	2541	2677
487	2547	2672
488	2551	2666
489	2557	2661
490	2563	2657
491	2567	2651
492	2572	2645
493	2576	2639
494	2581	2633
495	2587	2629
496	2591	2622
497	2597	2617
498	2602	2613
499	2605	2605
500	2611	2601
501	2615	2594
502	2622	2590
503	2628	2586
504	2633	2581
505	2637	2574
506	2644	2571
507	2648	2564
508	2654	2560
509	2659	2555
510	2665	2550
511	2669	2544
512	2675	2540
513	2682	2535
514	2685	2529
515	2691	2524
516	2695	2518
517	2701	2513
518	2708	2509
519	2715	2506
520	2721	2502
521	2725	2495
522	2732	2491
523	2737	2486
524	2742	2480
525	2748	2476
526	2755	2473
527	2759	2467
528	2765	2462
529	2771	2457
530	2776	2452
531	2780	2446
532	2787	2442
533	2792	2436
534	2797	2431
535	2803	2427
536	2809	2422
537	2814	2417
538	2821	2413
539	2827	2409
540	2833	2404
541	2837	2397
542	2844	2393
543	2852	2390
544	2857	2385
545	2863	2380
546	2869	2376
547	2876	2372
548	2881	2367
549	2885	2360
550	2892	2356
551	2896	2350
552	2902	2346
553	2908	2341
554	2915	2337
555	2919	2331
556	2925	2326
557	2931	2322
558	2936	2316
559	2942	2311
560	2949	2307
561	2955	2303
562	2960	2297
563	2966	2293
564	2971	2287
565	2979	2284
566	2983	2278
567	2989	2274
568	2996	2270
569	3002	2265
570	3008	2259
571	3014	2255
572	3021	2251
573	3027	2247
574	3032	2241
575	3037	2236
576	3044	2231
577	3048	2225
578	3054	2221
579	3060	2216
580	3066	2211
581	3071	2206
582	3077	2201
583	3084	2197
584	3090	2192
585	3094	2186
586	3101	2181
587	3108	2178
588	3114	2173
589	3118	2167
590	3125	2162
591	3132	2158
592	3137	2153
593	3142	2147
594	3149	2143
595	3156	2139
596	3162	2135
597	3167	2129
598	3173	2124
599	3181	2120
600	3188	2116
601	3192	2110
602	3199	2106
603	3205	2101
604	3213	2097
605	3217	2091
606	3223	2087
607	3229	2082
608	3236	2077
609	3240	2071
610	3246	2066
611	3252	2062
612	3258	2057
613	3262	2051
614	3268	2046
615	3273	2040
616	3278	2035
617	3285	2030
618	3291	2025
619	3295	2019
620	3301	2015
621	3308	2010
622	3314	2005
623	3318	1999
624	3325	1995
625	3332	1991
626	3337	1985
627	3343	1980
628	3349	1975
629	3356	1971
630	3361	1965
631	3367	1960
632	3373	1956
633	3380	1951
634	3388	1947
635	3394	1942
636	3399	1937
637	3405	1932
638	3411	1927
639	3417	1922
640	3424	1917
641	3429	1912
642	3437	1908
643	3445	1904
644	3452	1900
645	3457	1894
