iter	RMSE
153	23387.04412
154	23335.12173
155	23257.73906
156	23209.47546
157	23141.36946
158	23094.72829
159	23043.40556
160	23009.53273
161	22945.03356
162	22836.17874
163	22775.04683
164	22735.84611
165	22693.84837
166	22585.68535
167	22546.54473
168	22496.29382
169	22399.43884
170	22332.93501
171	22297.49437
172	22205.78571
173	22112.07744
174	22059.93366
175	22021.85291
176	21985.01554
177	21943.014
178	21900.6594
179	21849.02901
180	21771.03781
181	21695.08838
182	21663.18003
183	21602.79951
184	21556.46672
185	21483.64183
186	21454.09494
187	21415.29614
188	21369.49427
189	21330.47287
190	21287.63661
191	21241.74958
192	21197.96416
193	21164.50362
194	21120.74009
195	21091.63863
196	21074.93308
197	21035.55196
198	20999.50932
199	20966.93028
200	20936.98222
201	20923.05196
202	20891.3677
203	20857.57989
204	20802.84017
205	20768.23442
206	20735.93768
207	20700.18838
208	20681.26058
209	20628.59104
210	20593.04961
211	20547.53461
212	20530.51357
213	20480.13959
214	20451.77145
215	20402.83429
216	20368.11464
217	20316.52408
218	20289.46467
219	20262.20862
220	20212.67625
221	20172.87895
222	20143.5097
223	20116.63723
224	20090.49824
225	20047.26887
226	20029.14674
227	19989.2049
228	19965.33612
229	19939.61872
230	19910.76231
231	19888.04531
232	19862.92357
233	19836.2316
234	19805.35906
235	19780.15563
236	19760.26872
237	19718.10496
238	19693.42422
239	19656.87847
240	19632.97343
241	19616.2542
242	19577.18471
243	19555.49215
244	19503.83759
245	19473.81624
246	19429.41882
247	19396.23986
248	19374.87166
249	19344.39305
250	19322.57649
251	19298.57672
252	19260.82723
253	19219.81874
254	19187.40086
255	19171.67057
256	19148.32397
257	19110.25627
258	19084.6449
259	19070.14696
260	19044.8759
261	19023.444
262	19011.4958
263	18982.49162
264	18946.18565
265	18911.84796
266	18888.72355
267	18867.01958
268	18853.44419
269	18829.14927
270	18805.78861
271	18765.0808
272	18752.86635
273	18721.81557
274	18702.87819
275	18682.67238
276	18658.82929
277	18636.74069
278	18622.81289
279	18610.65641
280	18592.73542
281	18567.45653
282	18517.24777
283	18505.98689
284	18481.34048
285	18451.72588
286	18424.36383
287	18410.74359
288	18392.50105
289	18364.4102
290	18346.5607
291	18327.8307
292	18299.33105
293	18284.24123
294	18267.40686
295	18247.65914
296	18222.38037
297	18201.42179
298	18176.15137
299	18130.45556
300	18121.41903
301	18097.29821
302	18082.16618
303	18073.58325
304	18056.21606
305	18041.65374
306	18023.67549
307	17995.86598
308	17971.85071
309	17954.67307
310	17927.33775
311	17910.14667
312	17898.10315
313	17855.55997
314	17844.69291
315	17827.07948
316	17803.13994
317	17779.0278
318	17762.34886
319	17725.99918
320	17691.43351
321	17660.862
322	17641.24266
323	17632.06193
324	17619.86208
325	17600.75421
326	17592.64226
327	17577.29625
328	17558.56482
329	17534.84534
330	17521.8634
331	17503.4108
332	17493.43865
333	17466.36604
334	17440.83243
335	17418.53321
336	17402.05079
337	17388.82515
338	17367.78801
339	17354.43633
340	17341.28712
341	17332.9931
342	17314.72076
343	17292.79956
344	17282.28885
345	17263.93622
346	17238.92375
347	17211.69343
348	17191.01136
349	17169.42502
350	17154.03281
351	17140.7639
352	17118.18274
353	17094.43579
354	17077.33464
355	17062.85144
356	17045.53546
357	17013.46591
358	16999.81322
359	16986.218
360	16968.98458
361	16961.45266
362	16940.41925
363	16906.02783
364	16885.71338
365	16870.47279
366	16842.94601
367	16820.86621
368	16782.35968
369	16771.84737
370	16746.50639
371	16738.67477
372	16718.14849
373	16705.51386
374	16692.08377
375	16653.33586
376	16634.50787
377	16619.46251
378	16596.73436
379	16585.73518
380	16574.22177
381	16564.09059
382	16553.59896
383	16520.0223
384	16508.359
385	16487.26343
386	16473.12779
387	16465.13145
388	16451.60638
389	16441.65723
390	16430.90505
391	16416.1666
392	16396.40151
393	16366.23048
394	16341.94006
395	16332.64827
396	16315.08515
397	16296.26097
398	16278.07704
399	16254.36471
400	16241.80151
401	16229.02048
402	16219.37877
403	16203.35628
404	16183.99449
405	16168.1738
406	16158.1255
407	16144.81163
408	16132.04097
409	16123.68943
410	16114.63822
411	16102.9923
412	16092.5171
413	16070.30686
414	16061.10527
415	16049.34664
416	16042.65577
417	16016.80238
418	16000.82105
419	15985.51729
420	15978.96356
421	15965.22033
422	15948.6086
423	15937.81458
424	15922.44751
425	15910.88991
426	15900.9665
427	15872.03244
428	15861.46205
429	15833.74387
430	15814.82897
431	15806.64
432	15799.7072
433	15791.23605
434	15785.65019
435	15777.73945
436	15768.17761
437	15756.16707
438	15739.66152
439	15731.96556
440	15723.55348
441	15711.06392
442	15681.84215
443	15670.93715
444	15665.45519
445	15658.40547
446	15641.83884
447	15629.56716
448	15615.86596
449	15602.69297
450	15576.64687
451	15562.21831
452	15547.59706
453	15533.52986
454	15514.19516
455	15500.36353
456	15482.91205
457	15473.42453
458	15460.75004
459	15445.17835
460	15435.51595
461	15418.77726
462	15409.85072
463	15403.61846
464	15393.99022
465	15379.4338
466	15362.90164
467	15350.80301
468	15345.69606
469	15337.29476
470	15324.3304
471	15315.29289
472	15304.41787
473	15292.0717
474	15286.61204
475	15276.54372
476	15255.61271
477	15242.44955
478	15228.63306
479	15200.69411
480	15181.97832
481	15170.19477
482	15161.49172
483	15147.43128
484	15139.71188
485	15127.61471
486	15118.4073
487	15103.57836
488	15095.01982
489	15086.35286
490	15072.79529
491	15067.808
492	15058.57968
493	15050.73774
494	15045.27358
495	15031.1471
496	15020.0663
497	15009.33796
498	14998.39872
499	14977.70669
500	14965.44286
501	14953.20544
502	14945.97968
503	14935.43319
504	14923.22392
505	14914.60125
506	14898.00087
507	14887.04105
508	14878.99137
509	14862.99013
510	14838.87609
511	14829.73123
512	14823.00084
513	14812.29368
514	14803.96977
515	14794.57507
516	14786.46272
517	14771.22694
518	14756.92987
519	14747.49705
520	14734.15275
521	14717.14289
522	14706.79046
523	14694.03994
524	14680.27813
525	14668.82682
526	14661.68794
527	14655.33596
528	14650.56839
529	14640.56633
530	14627.39759
531	14619.09104
532	14607.67006
533	14592.61322
534	14587.23535
535	14574.16537
536	14562.13454
537	14548.26387
538	14542.34798
539	14534.47989
540	14520.00035
541	14511.46257
542	14497.05932
543	14488.12354
544	14477.26411
545	14462.81695
546	14449.98153
547	14440.97264
548	14433.57996
549	14418.46247
550	14406.8515
551	14400.16213
552	14393.36405
553	14385.6026
554	14376.17817
555	14368.2733
556	14360.73986
557	14350.05095
558	14338.18588
559	14330.58148
560	14324.67238
561	14319.53766
562	14313.81274
563	14300.90915
564	14293.29808
565	14289.34899
566	14278.17154
567	14268.77867
568	14265.10279
569	14255.46872
570	14243.44941
571	14237.14969
572	14222.43605
573	14211.13864
574	14207.46826
575	14197.41668
576	14189.12556
577	14180.0593
578	14167.76968
579	14163.52757
580	14155.76371
581	14148.27853
582	14138.83264
583	14128.63729
584	14125.55484
585	14119.1259
586	14113.27229
587	14105.92192
588	14096.05563
589	14086.70732
590	14081.09957
591	14072.91957
592	14064.74744
593	14061.61652
594	14044.71564
595	14031.5248
596	14020.35412
597	14011.6072
598	14007.42858
599	14001.24449
600	13993.26897
601	13988.49254
602	13980.89223
603	13960.37094
604	13952.0127
605	13944.48913
606	13936.48042
607	13929.25899
608	13925.03007
609	13919.27717
610	13911.9751
611	13905.95736
612	13896.7062
613	13890.5072
614	13886.48316
615	13880.8922
616	13874.63084
617	13869.2701
618	13860.19292
619	13848.5879
620	13840.58794
621	13836.40296
622	13824.76778
623	13815.52349
624	13807.6421
625	13801.2202
626	13795.439
627	13789.38256
628	13782.25553
629	13776.59435
630	13769.19888
631	13762.90511
632	13742.21274
633	13737.50687
634	13729.10079
635	13724.39514
636	13718.01213
637	13706.37397
638	13700.9982
639	13695.50542
640	13686.14151
641	13675.63555
642	13667.23921
643	13663.26253
644	13644.62534
645	13636.817
646	13632.61505
647	13625.71988
648	13619.9026
649	13617.15168
650	13610.79407
651	13604.5627
652	13600.01494
653	13592.97161
654	13584.58871
655	13577.32121
656	13573.71364
657	13564.18982
658	13556.27372
659	13550.10565
660	13541.61174
661	13533.24778
662	13527.68958
663	13519.89567
664	13511.21572
665	13505.4693
666	13498.48802
667	13490.36165
668	13483.94909
669	13476.49824
670	13465.27664
671	13458.26308
672	13447.64408
673	13442.6854
674	13432.909
675	13427.4478
676	13422.18172
677	13417.27275
678	13413.8773
679	13409.77878
680	13406.24624
681	13402.17187
682	13396.90561
683	13392.49358
684	13388.30659
685	13378.79015
686	13370.98522
687	13367.54379
688	13362.03539
689	13349.13617
690	13338.01575
691	13329.58637
692	13325.02232
693	13319.4579
694	13312.83245
695	13309.70293
696	13301.09231
697	13295.30934
698	13283.18099
699	13274.66559
700	13266.92956
701	13264.6562
702	13258.19366
703	13254.47284
704	13248.2657
705	13245.42147
706	13236.57838
707	13229.19741
708	13225.09571
709	13220.10432
710	13215.56249
711	13208.66697
712	13206.02722
713	13199.34054
714	13192.20169
715	13188.06558
716	13181.20602
717	13176.80342
718	13167.89732
719	13161.44241
720	13157.26297
721	13154.19948
722	13145.58698
723	13139.45108
724	13133.63177
725	13130.01791
726	13124.20511
727	13105.02361
728	13099.19064
729	13088.60825
730	13086.39658
731	13082.20402
732	13067.5138
733	13060.41418
734	13056.33447
735	13054.4542
736	13051.80242
737	13046.17816
738	13038.79551
739	13033.85276
740	13031.25157
741	13026.00046
742	13020.27178
743	13015.55329
744	13009.66426
745	13000.00275
746	12994.71844
747	12989.37245
748	12981.17755
749	12973.20132
750	12964.96986
751	12958.84442
752	12953.68428
753	12949.03508
754	12943.89151
755	12937.33922
756	12920.68273
757	12915.34891
758	12910.42133
759	12906.2456
760	12897.55132
761	12890.52817
762	12886.3697
763	12880.73639
764	12875.61688
765	12871.44481
766	12865.16039
767	12859.65363
768	12853.78561
769	12848.67605
770	12840.83905
771	12836.23759
772	12829.84599
773	12822.54599
774	12816.87071
775	12812.42582
776	12808.06326
777	12802.72522
778	12796.94223
779	12792.88699
780	12786.33917
781	12779.1071
782	12777.4536
783	12772.60775
784	12764.43512
785	12760.83469
786	12751.75637
787	12748.4961
788	12744.31903
789	12740.19308
790	12735.2712
791	12729.40578
792	12725.52305
793	12721.62652
794	12715.85141
795	12707.19677
796	12687.34337
797	12684.95986
798	12682.56257
799	12677.13336
800	12664.92341
801	12660.48977
802	12657.70242
803	12651.14853
804	12647.45421
805	12644.21731
806	12636.7891
807	12634.57592
808	12628.1507
809	12624.77152
810	12616.8525
811	12614.61958
812	12607.9325
813	12604.48046
814	12601.82425
815	12596.52756
816	12592.69862
817	12589.47418
818	12585.02959
819	12579.41179
820	12576.40709
821	12567.4144
822	12563.41383
823	12558.15476
824	12554.77282
825	12550.98848
826	12545.14729
827	12539.53908
828	12536.05746
829	12533.26097
830	12527.29643
831	12522.37054
832	12516.01906
833	12508.02366
834	12492.67437
835	12489.08668
836	12485.44541
837	12483.4562
838	12477.66466
839	12463.34629
840	12456.38281
841	12451.28409
842	12446.15403
843	12441.18982
844	12439.14765
845	12434.94171
846	12430.86579
847	12424.7
848	12420.85985
849	12415.88724
850	12413.39942
851	12409.10808
852	12404.32842
853	12398.39468
854	12392.91688
855	12389.1311
856	12384.41206
857	12378.71528
858	12374.02991
859	12368.09984
860	12364.91832
861	12362.54314
862	12360.65835
863	12354.66358
864	12346.67156
865	12342.47442
866	12334.80607
867	12332.79999
868	12327.81633
869	12323.64494
870	12313.57297
871	12311.45758
872	12301.17374
873	12295.17989
874	12291.26283
875	12284.79069
876	12282.61648
877	12279.14427
878	12274.91118
879	12271.52249
880	12267.14276
881	12261.84671
882	12258.07209
883	12253.01073
884	12248.51633
885	12245.77118
886	12240.8087
887	12237.40424
888	12232.33997
889	12228.9696
890	12227.06806
891	12220.08198
892	12216.24168
893	12210.974
894	12207.19538
895	12201.49794
896	12200.14556
897	12198.21437
898	12195.26448
899	12193.71041
900	12188.28471
901	12184.18856
902	12178.95517
903	12168.81058
904	12165.52335
905	12161.00756
906	12157.10083
907	12153.18768
908	12152.2028
909	12149.18843
910	12141.33939
911	12136.38985
912	12132.36488
913	12129.08292
914	12121.79219
915	12120.9174
916	12118.95148
917	12115.75067
918	12114.94016
919	12108.25094
920	12103.69227
921	12100.01482
922	12096.00681
923	12093.59502
924	12087.9663
925	12082.84152
926	12078.98095
927	12070.83631
928	12067.31449
929	12058.45054
930	12053.70197
931	12046.91802
932	12042.74973
933	12036.42058
934	12034.33927
935	12032.14042
936	12020.89142
937	12017.8435
938	12010.81155
939	12007.46511
940	12004.2325
941	12001.04873
942	11997.93636
943	11996.15235
944	11994.44769
945	11990.21712
946	11984.05718
947	11979.99417
948	11973.47805
949	11970.321
950	11967.17542
951	11963.71393
952	11962.04467
953	11956.39143
954	11952.22075
955	11941.77415
956	11936.11391
957	11933.3293
958	11924.1632
959	11919.76987
960	11913.57387
961	11911.07126
962	11908.12747
963	11904.35924
964	11901.23891
965	11899.41597
966	11894.53197
967	11891.20675
968	11888.14174
969	11882.30048
970	11877.90653
971	11871.93806
972	11868.44954
973	11865.69825
974	11860.93455
975	11856.59951
976	11851.14635
977	11845.91625
978	11842.35109
979	11836.1816
980	11833.06289
981	11831.36965
982	11823.99724
983	11820.1602
984	11812.28298
985	11810.10198
986	11806.14491
987	11801.15446
988	11797.35187
989	11794.41378
990	11789.83253
991	11775.96716
992	11772.79823
993	11767.81573
994	11763.53425
995	11757.05171
996	11753.543
997	11751.01662
998	11737.30743
999	11733.42741
